,DATE,RATE
105,2005-08-15,3.25
106,2005-08-16,3.24
107,2005-08-17,3.24
108,2005-08-18,3.24
109,2005-08-19,3.21
110,2005-08-20,3.21
111,2005-08-21,3.21
112,2005-08-22,3.19
113,2005-08-23,3.24
114,2005-08-24,3.24
115,2005-08-25,3.24
116,2005-08-26,3.23
117,2005-08-27,3.23
118,2005-08-28,3.23
119,2005-08-29,3.24
120,2005-08-30,3.24
121,2005-08-31,3.25
122,2005-09-01,3.25
123,2005-09-02,3.25
124,2005-09-03,3.25
125,2005-09-04,3.25
126,2005-09-05,3.25
127,2005-09-06,3.22
128,2005-09-07,3.2
129,2005-09-08,3.24
130,2005-09-09,3.23
131,2005-09-10,3.23
132,2005-09-11,3.23
133,2005-09-12,3.23
134,2005-09-13,3.24
135,2005-09-14,3.24
136,2005-09-15,3.25
137,2005-09-16,3.24
138,2005-09-17,3.24
139,2005-09-18,3.24
140,2005-09-19,3.24
141,2005-09-20,3.24
142,2005-09-21,3.2
143,2005-09-22,3.22
144,2005-09-23,3.25
145,2005-09-24,3.25
146,2005-09-25,3.25
147,2005-09-26,3.25
148,2005-09-27,3.24
149,2005-09-28,3.25
150,2005-09-29,3.26
151,2005-09-30,3.28
152,2005-10-01,3.28
153,2005-10-02,3.28
154,2005-10-03,3.28
155,2005-10-04,3.26
156,2005-10-05,3.25
157,2005-10-06,3.19
158,2005-10-07,3.19
159,2005-10-08,3.19
160,2005-10-09,3.19
161,2005-10-10,3.26
162,2005-10-11,3.5
163,2005-10-12,3.5
164,2005-10-13,3.49
165,2005-10-14,3.49
166,2005-10-15,3.49
167,2005-10-16,3.49
168,2005-10-17,3.5
169,2005-10-18,3.49
170,2005-10-19,3.49
171,2005-10-20,3.47
172,2005-10-21,3.47
173,2005-10-22,3.47
174,2005-10-23,3.47
175,2005-10-24,3.49
176,2005-10-25,3.5
177,2005-10-26,3.5
178,2005-10-27,3.49
179,2005-10-28,3.49
180,2005-10-29,3.49
181,2005-10-30,3.49
182,2005-10-31,3.51
183,2005-11-01,3.51
184,2005-11-02,3.5
185,2005-11-03,3.5
186,2005-11-04,3.45
187,2005-11-05,3.45
188,2005-11-06,3.45
189,2005-11-07,3.52
190,2005-11-08,3.49
191,2005-11-09,3.49
192,2005-11-10,3.49
193,2005-11-11,3.49
194,2005-11-12,3.49
195,2005-11-13,3.49
196,2005-11-14,3.49
197,2005-11-15,3.49
198,2005-11-16,3.49
199,2005-11-17,3.49
200,2005-11-18,3.49
201,2005-11-19,3.49
202,2005-11-20,3.49
203,2005-11-21,3.44
204,2005-11-22,3.46
205,2005-11-23,3.49
206,2005-11-24,3.5
207,2005-11-25,3.5
208,2005-11-26,3.5
209,2005-11-27,3.5
210,2005-11-28,3.49
211,2005-11-29,3.49
212,2005-11-30,3.5
213,2005-12-01,3.5
214,2005-12-02,3.49
215,2005-12-03,3.49
216,2005-12-04,3.49
217,2005-12-05,3.48
218,2005-12-06,3.43
219,2005-12-07,3.47
220,2005-12-08,3.73
221,2005-12-09,3.73
222,2005-12-10,3.73
223,2005-12-11,3.73
224,2005-12-12,3.74
225,2005-12-13,3.74
226,2005-12-14,3.75
227,2005-12-15,3.74
228,2005-12-16,3.74
229,2005-12-17,3.74
230,2005-12-18,3.74
231,2005-12-19,3.74
232,2005-12-20,3.75
233,2005-12-21,3.7
234,2005-12-22,3.68
235,2005-12-23,3.74
236,2005-12-24,3.74
237,2005-12-25,3.74
238,2005-12-26,3.75
239,2005-12-27,3.74
240,2005-12-28,3.74
241,2005-12-29,3.75
242,2005-12-30,3.76
243,2005-12-31,3.76
244,2006-01-01,3.76
245,2006-01-02,3.74
246,2006-01-03,3.74
247,2006-01-04,3.74
248,2006-01-05,3.7
249,2006-01-06,3.69
250,2006-01-07,3.69
251,2006-01-08,3.69
252,2006-01-09,3.74
253,2006-01-10,3.74
254,2006-01-11,3.74
255,2006-01-12,3.74
256,2006-01-13,3.73
257,2006-01-14,3.73
258,2006-01-15,3.73
259,2006-01-16,3.74
260,2006-01-17,3.74
261,2006-01-18,3.74
262,2006-01-19,3.7
263,2006-01-20,3.72
264,2006-01-21,3.72
265,2006-01-22,3.72
266,2006-01-23,3.74
267,2006-01-24,3.74
268,2006-01-25,3.75
269,2006-01-26,3.76
270,2006-01-27,3.75
271,2006-01-28,3.75
272,2006-01-29,3.75
273,2006-01-30,3.75
274,2006-01-31,3.76
275,2006-02-01,3.75
276,2006-02-02,3.74
277,2006-02-03,3.73
278,2006-02-04,3.73
279,2006-02-05,3.73
280,2006-02-06,3.69
281,2006-02-07,3.68
282,2006-02-08,3.74
283,2006-02-09,3.99
284,2006-02-10,3.99
285,2006-02-11,3.99
286,2006-02-12,3.99
287,2006-02-13,3.99
288,2006-02-14,3.99
289,2006-02-15,3.99
290,2006-02-16,3.99
291,2006-02-17,3.98
292,2006-02-18,3.98
293,2006-02-19,3.98
294,2006-02-20,3.98
295,2006-02-21,3.95
296,2006-02-22,3.97
297,2006-02-23,3.99
298,2006-02-24,3.99
299,2006-02-25,3.99
300,2006-02-26,3.99
301,2006-02-27,3.99
302,2006-02-28,3.99
303,2006-03-01,3.99
304,2006-03-02,3.99
305,2006-03-03,3.98
306,2006-03-04,3.98
307,2006-03-05,3.98
308,2006-03-06,3.95
309,2006-03-07,3.94
310,2006-03-08,3.98
311,2006-03-09,3.98
312,2006-03-10,3.98
313,2006-03-11,3.98
314,2006-03-12,3.98
315,2006-03-13,3.98
316,2006-03-14,3.98
317,2006-03-15,3.98
318,2006-03-16,3.98
319,2006-03-17,3.97
320,2006-03-18,3.97
321,2006-03-19,3.97
322,2006-03-20,3.98
323,2006-03-21,3.95
324,2006-03-22,3.92
325,2006-03-23,3.97
326,2006-03-24,3.97
327,2006-03-25,3.97
328,2006-03-26,3.97
329,2006-03-27,3.98
330,2006-03-28,3.97
331,2006-03-29,3.96
332,2006-03-30,3.96
333,2006-03-31,3.97
334,2006-04-01,3.97
335,2006-04-02,3.97
336,2006-04-03,3.97
337,2006-04-04,3.96
338,2006-04-05,3.96
339,2006-04-06,3.93
340,2006-04-07,3.92
341,2006-04-08,3.92
342,2006-04-09,3.92
343,2006-04-10,3.97
344,2006-04-11,3.97
345,2006-04-12,3.97
346,2006-04-13,3.96
347,2006-04-14,3.96
348,2006-04-15,3.96
349,2006-04-16,3.96
350,2006-04-17,3.96
351,2006-04-18,3.96
352,2006-04-19,3.99
353,2006-04-20,3.97
354,2006-04-21,4.0
355,2006-04-22,4.0
356,2006-04-23,4.0
357,2006-04-24,3.97
358,2006-04-25,3.97
359,2006-04-26,3.97
360,2006-04-27,3.97
361,2006-04-28,3.97
362,2006-04-29,3.97
363,2006-04-30,3.97
364,2006-05-01,3.97
365,2006-05-02,3.97
366,2006-05-03,3.97
367,2006-05-04,3.94
368,2006-05-05,3.94
369,2006-05-06,3.94
370,2006-05-07,3.94
371,2006-05-08,3.96
372,2006-05-09,3.96
373,2006-05-10,3.97
374,2006-05-11,3.97
375,2006-05-12,3.96
376,2006-05-13,3.96
377,2006-05-14,3.96
378,2006-05-15,3.96
379,2006-05-16,3.96
380,2006-05-17,3.96
381,2006-05-18,3.96
382,2006-05-19,3.94
383,2006-05-20,3.94
384,2006-05-21,3.94
385,2006-05-22,3.97
386,2006-05-23,3.96
387,2006-05-24,3.96
388,2006-05-25,3.96
389,2006-05-26,3.95
390,2006-05-27,3.95
391,2006-05-28,3.95
392,2006-05-29,3.96
393,2006-05-30,3.96
394,2006-05-31,3.96
395,2006-06-01,3.96
396,2006-06-02,3.95
397,2006-06-03,3.95
398,2006-06-04,3.95
399,2006-06-05,3.94
400,2006-06-06,3.94
401,2006-06-07,3.99
402,2006-06-08,4.2
403,2006-06-09,4.2
404,2006-06-10,4.2
405,2006-06-11,4.2
406,2006-06-12,4.2
407,2006-06-13,4.2
408,2006-06-14,4.2
409,2006-06-15,4.21
410,2006-06-16,4.19
411,2006-06-17,4.19
412,2006-06-18,4.19
413,2006-06-19,4.19
414,2006-06-20,4.19
415,2006-06-21,4.19
416,2006-06-22,4.22
417,2006-06-23,4.2
418,2006-06-24,4.2
419,2006-06-25,4.2
420,2006-06-26,4.2
421,2006-06-27,4.2
422,2006-06-28,4.19
423,2006-06-29,4.2
424,2006-06-30,4.21
425,2006-07-01,4.21
426,2006-07-02,4.21
427,2006-07-03,4.2
428,2006-07-04,4.2
429,2006-07-05,4.2
430,2006-07-06,4.19
431,2006-07-07,4.22
432,2006-07-08,4.22
433,2006-07-09,4.22
434,2006-07-10,4.2
435,2006-07-11,4.2
436,2006-07-12,4.2
437,2006-07-13,4.2
438,2006-07-14,4.21
439,2006-07-15,4.21
440,2006-07-16,4.21
441,2006-07-17,4.21
442,2006-07-18,4.21
443,2006-07-19,4.21
444,2006-07-20,4.19
445,2006-07-21,4.3
446,2006-07-22,4.3
447,2006-07-23,4.3
448,2006-07-24,4.23
449,2006-07-25,4.23
450,2006-07-26,4.23
451,2006-07-27,4.22
452,2006-07-28,4.22
453,2006-07-29,4.22
454,2006-07-30,4.22
455,2006-07-31,4.22
456,2006-08-01,4.21
457,2006-08-02,4.22
458,2006-08-03,4.23
459,2006-08-04,4.29
460,2006-08-05,4.29
461,2006-08-06,4.29
462,2006-08-07,4.25
463,2006-08-08,4.25
464,2006-08-09,4.24
465,2006-08-10,4.49
466,2006-08-11,4.5
467,2006-08-12,4.5
468,2006-08-13,4.5
469,2006-08-14,4.49
470,2006-08-15,4.49
471,2006-08-16,4.49
472,2006-08-17,4.49
473,2006-08-18,4.48
474,2006-08-19,4.48
475,2006-08-20,4.48
476,2006-08-21,4.48
477,2006-08-22,4.47
478,2006-08-23,4.49
479,2006-08-24,4.49
480,2006-08-25,4.49
481,2006-08-26,4.49
482,2006-08-27,4.49
483,2006-08-28,4.48
484,2006-08-29,4.48
485,2006-08-30,4.48
486,2006-08-31,4.49
487,2006-09-01,4.48
488,2006-09-02,4.48
489,2006-09-03,4.48
490,2006-09-04,4.47
491,2006-09-05,4.47
492,2006-09-06,4.43
493,2006-09-07,4.47
494,2006-09-08,4.48
495,2006-09-09,4.48
496,2006-09-10,4.48
497,2006-09-11,4.47
498,2006-09-12,4.47
499,2006-09-13,4.47
500,2006-09-14,4.47
501,2006-09-15,4.47
502,2006-09-16,4.47
503,2006-09-17,4.47
504,2006-09-18,4.47
505,2006-09-19,4.47
506,2006-09-20,4.47
507,2006-09-21,4.48
508,2006-09-22,4.49
509,2006-09-23,4.49
510,2006-09-24,4.49
511,2006-09-25,4.48
512,2006-09-26,4.47
513,2006-09-27,4.47
514,2006-09-28,4.47
515,2006-09-29,4.48
516,2006-09-30,4.48
517,2006-10-01,4.48
518,2006-10-02,4.44
519,2006-10-03,4.44
520,2006-10-04,4.45
521,2006-10-05,4.45
522,2006-10-06,4.45
523,2006-10-07,4.45
524,2006-10-08,4.45
525,2006-10-09,4.48
526,2006-10-10,4.48
527,2006-10-11,4.47
528,2006-10-12,4.48
529,2006-10-13,4.48
530,2006-10-14,4.48
531,2006-10-15,4.48
532,2006-10-16,4.48
533,2006-10-17,4.48
534,2006-10-18,4.48
535,2006-10-19,4.49
536,2006-10-20,4.48
537,2006-10-21,4.48
538,2006-10-22,4.48
539,2006-10-23,4.48
540,2006-10-24,4.48
541,2006-10-25,4.48
542,2006-10-26,4.48
543,2006-10-27,4.47
544,2006-10-28,4.47
545,2006-10-29,4.47
546,2006-10-30,4.48
547,2006-10-31,4.48
548,2006-11-01,4.47
549,2006-11-02,4.47
550,2006-11-03,4.47
551,2006-11-04,4.47
552,2006-11-05,4.47
553,2006-11-06,4.44
554,2006-11-07,4.49
555,2006-11-08,4.48
556,2006-11-09,4.48
557,2006-11-10,4.47
558,2006-11-11,4.47
559,2006-11-12,4.47
560,2006-11-13,4.47
561,2006-11-14,4.47
562,2006-11-15,4.48
563,2006-11-16,4.48
564,2006-11-17,4.47
565,2006-11-18,4.47
566,2006-11-19,4.47
567,2006-11-20,4.47
568,2006-11-21,4.49
569,2006-11-22,4.49
570,2006-11-23,4.47
571,2006-11-24,4.47
572,2006-11-25,4.47
573,2006-11-26,4.47
574,2006-11-27,4.46
575,2006-11-28,4.47
576,2006-11-29,4.47
577,2006-11-30,4.49
578,2006-12-01,4.47
579,2006-12-02,4.47
580,2006-12-03,4.47
581,2006-12-04,4.47
582,2006-12-05,4.46
583,2006-12-06,4.49
584,2006-12-07,4.36
585,2006-12-08,4.46
586,2006-12-09,4.46
587,2006-12-10,4.46
588,2006-12-11,4.45
589,2006-12-12,4.45
590,2006-12-13,4.47
591,2006-12-14,4.47
592,2006-12-15,4.48
593,2006-12-16,4.48
594,2006-12-17,4.48
595,2006-12-18,4.48
596,2006-12-19,4.49
597,2006-12-20,4.5
598,2006-12-21,4.49
599,2006-12-22,4.53
600,2006-12-23,4.53
601,2006-12-24,4.53
602,2006-12-25,4.53
603,2006-12-26,4.56
604,2006-12-27,4.55
605,2006-12-28,4.58
606,2006-12-29,4.6
607,2006-12-30,4.6
608,2006-12-31,4.6
609,2007-01-01,4.6
610,2007-01-02,4.54
611,2007-01-03,4.56
612,2007-01-04,4.67
613,2007-01-05,4.66
614,2007-01-06,4.66
615,2007-01-07,4.66
616,2007-01-08,4.61
617,2007-01-09,4.62
618,2007-01-10,4.67
619,2007-01-11,4.63
620,2007-01-12,4.64
621,2007-01-13,4.64
622,2007-01-14,4.64
623,2007-01-15,4.64
624,2007-01-16,4.64
625,2007-01-17,4.67
626,2007-01-18,4.71
627,2007-01-19,4.58
628,2007-01-20,4.58
629,2007-01-21,4.58
630,2007-01-22,4.61
631,2007-01-23,4.6
632,2007-01-24,4.61
633,2007-01-25,4.62
634,2007-01-26,4.7
635,2007-01-27,4.7
636,2007-01-28,4.7
637,2007-01-29,4.7
638,2007-01-30,4.61
639,2007-01-31,4.61
640,2007-02-01,4.6
641,2007-02-02,4.6
642,2007-02-03,4.6
643,2007-02-04,4.6
644,2007-02-05,4.54
645,2007-02-06,4.46
646,2007-02-07,4.49
647,2007-02-08,4.55
648,2007-02-09,4.55
649,2007-02-10,4.55
650,2007-02-11,4.55
651,2007-02-12,4.56
652,2007-02-13,4.61
653,2007-02-14,4.68
654,2007-02-15,4.7
655,2007-02-16,4.85
656,2007-02-17,4.85
657,2007-02-18,4.85
658,2007-02-19,4.85
659,2007-02-20,4.76
660,2007-02-21,4.57
661,2007-02-22,4.57
662,2007-02-23,4.56
663,2007-02-24,4.56
664,2007-02-25,4.56
665,2007-02-26,4.5
666,2007-02-27,4.5
667,2007-02-28,4.55
668,2007-03-01,4.55
669,2007-03-02,4.54
670,2007-03-03,4.54
671,2007-03-04,4.54
672,2007-03-05,4.59
673,2007-03-06,4.55
674,2007-03-07,4.57
675,2007-03-08,4.55
676,2007-03-09,4.59
677,2007-03-10,4.59
678,2007-03-11,4.59
679,2007-03-12,4.61
680,2007-03-13,4.61
681,2007-03-14,4.64
682,2007-03-15,4.64
683,2007-03-16,4.64
684,2007-03-17,4.64
685,2007-03-18,4.64
686,2007-03-19,4.64
687,2007-03-20,4.61
688,2007-03-21,4.5
689,2007-03-22,4.45
690,2007-03-23,4.59
691,2007-03-24,4.59
692,2007-03-25,4.59
693,2007-03-26,4.61
694,2007-03-27,4.61
695,2007-03-28,4.58
696,2007-03-29,4.61
697,2007-03-30,4.63
698,2007-03-31,4.63
699,2007-04-01,4.63
700,2007-04-02,4.63
701,2007-04-03,4.62
702,2007-04-04,4.6
703,2007-04-05,4.4
704,2007-04-06,4.35
705,2007-04-07,4.35
706,2007-04-08,4.35
707,2007-04-09,4.61
708,2007-04-10,4.61
709,2007-04-11,4.61
710,2007-04-12,4.62
711,2007-04-13,4.63
712,2007-04-14,4.63
713,2007-04-15,4.63
714,2007-04-16,4.63
715,2007-04-17,4.63
716,2007-04-18,4.63
717,2007-04-19,4.6
718,2007-04-20,4.71
719,2007-04-21,4.71
720,2007-04-22,4.71
721,2007-04-23,4.64
722,2007-04-24,4.67
723,2007-04-25,4.74
724,2007-04-26,5.04
725,2007-04-27,5.09
726,2007-04-28,5.09
727,2007-04-29,5.09
728,2007-04-30,4.88
729,2007-05-01,4.88
730,2007-05-02,4.77
731,2007-05-03,4.74
732,2007-05-04,4.69
733,2007-05-05,4.69
734,2007-05-06,4.69
735,2007-05-07,4.72
736,2007-05-08,4.63
737,2007-05-09,4.63
738,2007-05-10,4.63
739,2007-05-11,4.61
740,2007-05-12,4.61
741,2007-05-13,4.61
742,2007-05-14,4.62
743,2007-05-15,4.61
744,2007-05-16,4.61
745,2007-05-17,4.61
746,2007-05-18,4.57
747,2007-05-19,4.57
748,2007-05-20,4.57
749,2007-05-21,4.59
750,2007-05-22,4.52
751,2007-05-23,4.58
752,2007-05-24,4.58
753,2007-05-25,4.58
754,2007-05-26,4.58
755,2007-05-27,4.58
756,2007-05-28,4.54
757,2007-05-29,4.55
758,2007-05-30,4.56
759,2007-05-31,4.55
760,2007-06-01,4.52
761,2007-06-02,4.52
762,2007-06-03,4.52
763,2007-06-04,4.51
764,2007-06-05,4.49
765,2007-06-06,4.49
766,2007-06-07,4.44
767,2007-06-08,4.52
768,2007-06-09,4.52
769,2007-06-10,4.52
770,2007-06-11,4.54
771,2007-06-12,4.54
772,2007-06-13,4.58
773,2007-06-14,4.59
774,2007-06-15,4.59
775,2007-06-16,4.59
776,2007-06-17,4.59
777,2007-06-18,4.59
778,2007-06-19,4.59
779,2007-06-20,4.56
780,2007-06-21,4.54
781,2007-06-22,4.47
782,2007-06-23,4.47
783,2007-06-24,4.47
784,2007-06-25,4.52
785,2007-06-26,4.51
786,2007-06-27,4.51
787,2007-06-28,4.51
788,2007-06-29,4.52
789,2007-06-30,4.52
790,2007-07-01,4.52
791,2007-07-02,4.5
792,2007-07-03,4.5
793,2007-07-04,4.48
794,2007-07-05,4.42
795,2007-07-06,4.37
796,2007-07-07,4.37
797,2007-07-08,4.37
798,2007-07-09,4.47
799,2007-07-10,4.47
800,2007-07-11,4.48
801,2007-07-12,4.72
802,2007-07-13,4.71
803,2007-07-14,4.71
804,2007-07-15,4.71
805,2007-07-16,4.73
806,2007-07-17,4.73
807,2007-07-18,4.77
808,2007-07-19,4.85
809,2007-07-20,4.87
810,2007-07-21,4.87
811,2007-07-22,4.87
812,2007-07-23,4.78
813,2007-07-24,4.78
814,2007-07-25,4.78
815,2007-07-26,4.78
816,2007-07-27,4.77
817,2007-07-28,4.77
818,2007-07-29,4.77
819,2007-07-30,4.76
820,2007-07-31,4.76
821,2007-08-01,4.58
822,2007-08-02,4.65
823,2007-08-03,4.69
824,2007-08-04,4.69
825,2007-08-05,4.69
826,2007-08-06,4.67
827,2007-08-07,4.68
828,2007-08-08,4.7
829,2007-08-09,5.01
830,2007-08-10,5.02
831,2007-08-11,5.02
832,2007-08-12,5.02
833,2007-08-13,5.0
834,2007-08-14,4.99
835,2007-08-15,4.99
836,2007-08-16,4.98
837,2007-08-17,4.98
838,2007-08-18,4.98
839,2007-08-19,4.98
840,2007-08-20,4.98
841,2007-08-21,4.98
842,2007-08-22,4.97
843,2007-08-23,4.98
844,2007-08-24,4.98
845,2007-08-25,4.98
846,2007-08-26,4.98
847,2007-08-27,4.98
848,2007-08-28,4.98
849,2007-08-29,4.97
850,2007-08-30,4.97
851,2007-08-31,4.98
852,2007-09-01,4.98
853,2007-09-02,4.98
854,2007-09-03,5.0
855,2007-09-04,4.98
856,2007-09-05,4.97
857,2007-09-06,4.93
858,2007-09-07,4.9
859,2007-09-08,4.9
860,2007-09-09,4.9
861,2007-09-10,4.97
862,2007-09-11,4.98
863,2007-09-12,4.98
864,2007-09-13,4.99
865,2007-09-14,4.99
866,2007-09-15,4.99
867,2007-09-16,4.99
868,2007-09-17,4.99
869,2007-09-18,4.99
870,2007-09-19,4.97
871,2007-09-20,4.91
872,2007-09-21,4.9
873,2007-09-22,4.9
874,2007-09-23,4.9
875,2007-09-24,4.9
876,2007-09-25,4.9
877,2007-09-26,4.9
878,2007-09-27,4.98
879,2007-09-28,4.98
880,2007-09-29,4.98
881,2007-09-30,4.98
882,2007-10-01,4.99
883,2007-10-02,4.98
884,2007-10-03,4.98
885,2007-10-04,5.01
886,2007-10-05,5.0
887,2007-10-06,5.0
888,2007-10-07,5.0
889,2007-10-08,4.98
890,2007-10-09,4.98
891,2007-10-10,4.99
892,2007-10-11,5.0
893,2007-10-12,5.01
894,2007-10-13,5.01
895,2007-10-14,5.01
896,2007-10-15,5.02
897,2007-10-16,5.01
898,2007-10-17,5.0
899,2007-10-18,5.0
900,2007-10-19,5.01
901,2007-10-20,5.01
902,2007-10-21,5.01
903,2007-10-22,4.99
904,2007-10-23,5.0
905,2007-10-24,5.02
906,2007-10-25,5.02
907,2007-10-26,5.02
908,2007-10-27,5.02
909,2007-10-28,5.02
910,2007-10-29,5.01
911,2007-10-30,5.02
912,2007-10-31,5.02
913,2007-11-01,5.0
914,2007-11-02,4.98
915,2007-11-03,4.98
916,2007-11-04,4.98
917,2007-11-05,4.98
918,2007-11-06,5.04
919,2007-11-07,5.01
920,2007-11-08,5.01
921,2007-11-09,5.01
922,2007-11-10,5.01
923,2007-11-11,5.01
924,2007-11-12,5.02
925,2007-11-13,5.01
926,2007-11-14,5.01
927,2007-11-15,5.01
928,2007-11-16,5.01
929,2007-11-17,5.01
930,2007-11-18,5.01
931,2007-11-19,5.01
932,2007-11-20,4.98
933,2007-11-21,4.99
934,2007-11-22,4.98
935,2007-11-23,5.0
936,2007-11-24,5.0
937,2007-11-25,5.0
938,2007-11-26,5.01
939,2007-11-27,5.0
940,2007-11-28,5.01
941,2007-11-29,5.01
942,2007-11-30,5.02
943,2007-12-01,5.02
944,2007-12-02,5.02
945,2007-12-03,5.0
946,2007-12-04,5.0
947,2007-12-05,4.96
948,2007-12-06,4.86
949,2007-12-07,4.79
950,2007-12-08,4.79
951,2007-12-09,4.79
952,2007-12-10,4.99
953,2007-12-11,4.99
954,2007-12-12,5.0
955,2007-12-13,4.99
956,2007-12-14,4.99
957,2007-12-15,4.99
958,2007-12-16,4.99
959,2007-12-17,5.0
960,2007-12-18,5.0
961,2007-12-19,5.0
962,2007-12-20,5.0
963,2007-12-21,4.99
964,2007-12-22,4.99
965,2007-12-23,4.99
966,2007-12-24,5.0
967,2007-12-25,5.0
968,2007-12-26,5.0
969,2007-12-27,5.0
970,2007-12-28,5.0
971,2007-12-29,5.0
972,2007-12-30,5.0
973,2007-12-31,5.02
974,2008-01-01,5.02
975,2008-01-02,4.96
976,2008-01-03,4.98
977,2008-01-04,4.99
978,2008-01-05,4.99
979,2008-01-06,4.99
980,2008-01-07,4.95
981,2008-01-08,4.98
982,2008-01-09,4.99
983,2008-01-10,5.01
984,2008-01-11,5.0
985,2008-01-12,5.0
986,2008-01-13,5.0
987,2008-01-14,5.01
988,2008-01-15,5.01
989,2008-01-16,5.02
990,2008-01-17,5.02
991,2008-01-18,4.97
992,2008-01-19,4.97
993,2008-01-20,4.97
994,2008-01-21,4.93
995,2008-01-22,4.9
996,2008-01-23,5.01
997,2008-01-24,5.01
998,2008-01-25,5.01
999,2008-01-26,5.01
1000,2008-01-27,5.01
1001,2008-01-28,5.01
1002,2008-01-29,5.0
1003,2008-01-30,4.98
1004,2008-01-31,4.96
1005,2008-02-01,4.91
1006,2008-02-02,4.91
1007,2008-02-03,4.91
1008,2008-02-04,4.96
1009,2008-02-05,4.94
1010,2008-02-06,4.94
1011,2008-02-07,4.94
1012,2008-02-08,4.94
1013,2008-02-09,4.94
1014,2008-02-10,4.94
1015,2008-02-11,5.0
1016,2008-02-12,5.0
1017,2008-02-13,5.0
1018,2008-02-14,5.0
1019,2008-02-15,5.0
1020,2008-02-16,5.0
1021,2008-02-17,5.0
1022,2008-02-18,4.98
1023,2008-02-19,4.95
1024,2008-02-20,4.94
1025,2008-02-21,5.02
1026,2008-02-22,5.0
1027,2008-02-23,5.0
1028,2008-02-24,5.0
1029,2008-02-25,4.98
1030,2008-02-26,4.95
1031,2008-02-27,4.94
1032,2008-02-28,4.96
1033,2008-02-29,4.94
1034,2008-03-01,4.94
1035,2008-03-02,4.94
1036,2008-03-03,4.94
1037,2008-03-04,4.95
1038,2008-03-05,4.93
1039,2008-03-06,5.0
1040,2008-03-07,5.0
1041,2008-03-08,5.0
1042,2008-03-09,5.0
1043,2008-03-10,4.99
1044,2008-03-11,4.99
1045,2008-03-12,4.98
1046,2008-03-13,4.98
1047,2008-03-14,4.98
1048,2008-03-15,4.98
1049,2008-03-16,4.98
1050,2008-03-17,4.96
1051,2008-03-18,4.99
1052,2008-03-19,4.95
1053,2008-03-20,4.98
1054,2008-03-21,4.98
1055,2008-03-22,4.98
1056,2008-03-23,4.98
1057,2008-03-24,4.97
1058,2008-03-25,4.97
1059,2008-03-26,4.94
1060,2008-03-27,4.94
1061,2008-03-28,4.96
1062,2008-03-29,4.96
1063,2008-03-30,4.96
1064,2008-03-31,4.98
1065,2008-04-01,4.97
1066,2008-04-02,5.0
1067,2008-04-03,5.01
1068,2008-04-04,5.1
1069,2008-04-05,5.1
